"ANIO","MES","CONGLOMERADO","MUESTRA","SELVIV","HOGAR","ESTRATO","LLAVE_PANEL","CCDD","AREA","C201","C203","C204","C205","C206","C207","C208","C300n","NROINF","C301_DIA","C301_MES","C301_ANIO","C303","C304","C305","C306_1","C306_2","C306_3","C306_4","C306_5","C306_6","C306_7","C306_8","C306_9","C306_10","C306_10A","C306_11","C306A","C308_COD","C309_COD","C310","C311","C312","C313","C317","C317A","C318_1","C318_2","C318_3","C318_4","C318_5","C318_6","C318_7","C318_T","C328_T","whoraT","C330","C331","C333","C334","P209H","C335","C338","C339_1","C341_T","C342","C344","C345_1","C347_T","C348","C350","C352","C353","C354","C355","C356","C357_I","C358","C359","SEGURO1","C361_1","C362_1","C361_2","C362_2","C361_3","C362_3","C361_4","C362_4","C361_5","C362_5","C361_6","C362_6","C361_7","C362_7","C361_8","C362_8","C364_1","C365_1","C364_2","C365_2","C364_3","C365_3","C364_4","C365_4","C366","C366_1","C366_2","C375_1","C375_2","C375_3","C375_4","C375_5","C375_6","C376","C377","OCUP300","D341_T","D344","D347_T","D350","D351_T","I339_1","I342","I345_1","I348","INGTOT","INGTOTP","ingtrabw","RESIDENT","Informal_P","FAC300_ANUAL"
2025,"01","3073601",1,"0026",1,5,"20241030736011002612","12",1,1,1,1,2,,2,47,1,2,14,1,1978,1,,,,,,,,,,,,,,,,9511,4781,2,,3,2,1,1,0,9,9,9,9,9,0,45,,45,1,,2,,2,2,,,,,,,,,,,,,,,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,9,3,,2,2,2,2,2,2,10,7,1,,45,,,,,550,,,595,595,595,1,1,178.38052991126224
2025,"01","3073601",1,"0026",1,5,"20241030736011002611","12",1,2,2,1,1,,1,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
2025,"01","3073601",1,"0026",1,5,"20241030736011002613","12",1,3,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,
2025,"01","3073601",1,"0027",1,5,"20241030736011002711","12",1,1,1,1,2,,1,52,1,1,6,6,1972,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,13,5,2,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,3,,1,2,2,2,2,2,2,1,7,2,,,,,,,,,,,,,1,,163.56153280495
2025,"01","3073601",1,"0027",1,5,"20241030736011002712","12",1,2,2,1,2,,2,53,2,2,23,4,1971,1,,,,,,,,,,,,,,,,9121,9601,2,,3,2,1,1,0,0,0,0,4,0,5,9,,9,1,,2,,2,2,,,,,,,,,,,,,,,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,2,,2,2,2,2,2,2,10,7,1,,,,,,,648,,,648,648,648,1,1,178.38052991126224
2025,"01","3073601",1,"0027",1,5,"20250130736011002713","12",1,3,3,1,2,,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2025,"01","31034",1,"0041",1,4,"202501310341004111","12",1,1,1,1,1,,1,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
2025,"01","31034",1,"0041",1,4,"202501310341004112","12",1,2,2,1,2,,2,53,2,2,17,7,1971,1,,,,,,,,,,,,,,,,9521,4781,2,,3,2,1,1,10,6,10,18,18,10,10,82,,82,1,,2,,2,2,,,,,,,,,,,,,,,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,4,,6,2,2,2,2,2,2,10,1,1,,50,,,,,1272,,,1322,1322,1322,1,1,97.265127073627
2025,"01","31034",1,"0041",1,4,"202501310341004113","12",1,3,3,1,2,,1,30,3,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2025,"01","31034",1,"0041",1,4,"202501310341004114","12",1,4,3,1,1,,1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
2025,"01","31034",1,"0041",1,4,"202501310341004115","12",1,5,3,1,2,,2,37,5,5,30,1,1988,1,,,,,,,,,,,,,,,,4417,4921,3,5,2,1,1,8,0,5,5,0,5,5,0,20,20,40,1,,2,,2,2,4,800,,,,,,400,150,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,1,1,,,,150,,800,,,400,1350,800,1350,1,1,142.44705828510874
2025,"01","31034",1,"0041",1,4,"202501310341004116","12",1,6,3,1,2,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2025,"01","31034",1,"0043",1,4,"202501310341004311","12",1,1,1,1,2,,2,63,1,1,13,10,1961,1,,,,,,,,,,,,,,,,5213,4782,2,,3,2,1,1,10,0,0,0,0,10,0,20,,20,1,,1,1,1,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,8,2,,2,2,2,2,2,2,10,7,1,,,,,,,680,,,680,680,680,1,1,107.88865373296674
2025,"01","31034",1,"0043",1,4,"202501310341004312","12",1,2,2,1,2,,1,68,2,1,30,11,1956,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,2,2,7,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,4,5,,1,1,2,2,2,2,10,7,4,,,,,,,,,,,,,1,,143.64646661899724
2025,"01","31034",1,"0043",1,4,"202501310341004313","12",1,3,3,1,2,,2,28,3,3,9,3,1996,1,,,,,,,,,,,,,,,,8321,4923,2,,3,2,1,1,0,0,0,0,0,5,4,9,,9,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,8,2,,2,2,2,2,2,2,10,7,1,,,,,,,320,,,320,320,320,1,1,138.82030682776076
2025,"01","31034",1,"0043",1,4,"202501310341004314","12",1,4,5,1,2,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2025,"01","31034",1,"0044",1,4,"202501310341004411","12",1,1,1,1,2,,2,40,1,1,9,3,1984,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,6,5,,2,2,2,2,2,2,10,5,4,,,,,,,,,,,,,1,,142.44705828510874
2025,"01","31034",1,"0044",1,4,"202501310341004412","12",1,2,3,1,2,,1,22,2,2,27,4,2002,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,5,,,1,6,2,,2,,2,,2,,2,,1,2,2,,2,,1,5,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,,214.43993220647826
2025,"01","31034",1,"0044",1,4,"202501310341004413","12",1,3,3,1,2,,2,21,3,3,1,1,2004,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,5,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,10,2,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,,80.9126724982605
2025,"01","31034",1,"0044",1,4,"202501310341004414","12",1,4,3,1,2,,2,14,4,4,24,5,2010,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,3,,,2,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,5,2,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,,229.71283656536124
2025,"01","31034",1,"0044",1,4,"202501310341004415","12",1,5,3,1,2,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2025,"01","31034",1,"0044",1,4,"202501310341004416","12",1,6,3,1,2,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2025,"01","31034",1,"0045",1,4,"202501310341004511","12",1,1,1,1,2,,1,81,1,1,6,1,1944,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,3,,,1,1,1,3,2,,2,,2,,2,,2,,2,,2,,2,,1,3,2,,2,,4,5,,1,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,,143.64646661899724
2025,"01","31035",1,"0133",1,4,"202401310351013311","12",1,1,1,1,2,,2,85,1,1,13,8,1939,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,2,2,3,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,1,4,2,,2,,1,,,2,2,2,2,2,2,1,1,4,,,,,,,,,,,,,1,,95.50162263309775
2025,"01","31035",1,"0134",1,4,"202401310351013411","12",1,1,1,1,2,,2,67,1,1,26,1,1958,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,3,,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,,,2,1,2,2,2,2,10,7,4,,,,,,,,,,,,,1,,95.50162263309775
2025,"01","31035",1,"0135",1,4,"202401310351013511","12",1,1,1,1,2,,2,33,1,1,13,11,1991,1,,,,,,,,,,,,,,,,9211,123,3,5,3,2,1,3,0,8,8,8,0,0,0,24,,24,1,,2,,2,2,2,105,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,1,5,2,,2,,9,3,,2,2,2,2,2,2,10,7,1,,,,,,455,,,,455,455,455,1,1,136.3033695153665
2025,"01","31035",1,"0135",1,4,"202401310351013512","12",1,2,3,1,2,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2025,"01","31035",1,"0136",1,4,"202401310351013611","12",1,1,1,1,2,,1,36,1,1,18,12,1988,1,,,,,,,,,,,,,,,,3142,4322,3,5,1,,5,800,12,12,12,12,12,12,12,84,,84,1,,2,,2,2,4,4200,710,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,9,3,,2,2,2,2,2,2,10,7,1,1070,,,,1017,4200,,,,5270,5270,6287,1,2,143.1703674967845
2025,"01","31035",1,"0136",1,4,"202401310351013612","12",1,2,2,1,2,,2,33,2,2,1,6,1991,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,1,5,2,,2,,4,,6,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,,267.5536411645375
2025,"01","31035",1,"0136",1,4,"202401310351013613","12",1,3,3,1,2,,2,17,3,3,11,11,2007,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,5,,,2,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,,225.547935747179
